"X","participant","gender","age","language","logical_training","trial_type","card_type","guess_type","card","guess","response","aim","comments","response_type"
1,"anon0","male",32,"english","No","X_XorY","X","XorY","ele","catorele","right","not entirely sure. ","ty","binary"
2,"anon0","male",32,"english","No","X_X","X","X","dog","dog","right","not entirely sure. ","ty","binary"
3,"anon0","male",32,"english","No","XY_XorY","XY","XorY","catele","catorele","right","not entirely sure. ","ty","binary"
4,"anon0","male",32,"english","No","X_XandY","X","XandY","cat","catanddog","wrong","not entirely sure. ","ty","binary"
5,"anon0","male",32,"english","No","XY_Z","XY","Z","catdog","ele","wrong","not entirely sure. ","ty","binary"
6,"anon0","male",32,"english","No","XY_X","XY","X","catele","ele","right","not entirely sure. ","ty","binary"
7,"anon0","male",32,"english","No","XY_Z","XY","Z","dogele","cat","wrong","not entirely sure. ","ty","binary"
8,"anon0","male",32,"english","No","X_X","X","X","cat","cat","right","not entirely sure. ","ty","binary"
9,"anon0","male",32,"english","No","XY_XorY","XY","XorY","catdog","catordog","right","not entirely sure. ","ty","binary"
10,"anon0","male",32,"english","No","X_Z","X","Z","ele","cat","wrong","not entirely sure. ","ty","binary"
11,"anon0","male",32,"english","No","X_Z","X","Z","dog","cat","wrong","not entirely sure. ","ty","binary"
12,"anon0","male",32,"english","No","XY_Z","XY","Z","catele","dog","wrong","not entirely sure. ","ty","binary"
13,"anon0","male",32,"english","No","X_Z","X","Z","cat","dog","wrong","not entirely sure. ","ty","binary"
14,"anon0","male",32,"english","No","XY_XorY","XY","XorY","dogele","dogorele","right","not entirely sure. ","ty","binary"
15,"anon0","male",32,"english","No","XY_X","XY","X","dogele","ele","right","not entirely sure. ","ty","binary"
16,"anon0","male",32,"english","No","X_X","X","X","ele","ele","right","not entirely sure. ","ty","binary"
17,"anon0","male",32,"english","No","X_XandY","X","XandY","dog","catanddog","wrong","not entirely sure. ","ty","binary"
18,"anon0","male",32,"english","No","X_XorY","X","XorY","cat","catorele","right","not entirely sure. ","ty","binary"
19,"anon0","male",32,"english","No","X_XandY","X","XandY","cat","catandele","wrong","not entirely sure. ","ty","binary"
20,"anon0","male",32,"english","No","XY_X","XY","X","dogele","dog","right","not entirely sure. ","ty","binary"
21,"anon0","male",32,"english","No","XY_XandY","XY","XandY","catdog","catanddog","right","not entirely sure. ","ty","binary"
22,"anon0","male",32,"english","No","XY_XandY","XY","XandY","catele","catandele","right","not entirely sure. ","ty","binary"
23,"anon0","male",32,"english","No","X_XorY","X","XorY","dog","catordog","right","not entirely sure. ","ty","binary"
24,"anon0","male",32,"english","No","XY_XandY","XY","XandY","dogele","dogandele","right","not entirely sure. ","ty","binary"
25,"anon1","male",27,"english","No","X_Z","X","Z","cat","dog","wrong","to give commands","n.a","quatenary"
26,"anon1","male",27,"english","No","X_XandY","X","XandY","ele","dogandele","right","to give commands","n.a","quatenary"
27,"anon1","male",27,"english","No","X_XandY","X","XandY","cat","catandele","wrong","to give commands","n.a","quatenary"
28,"anon1","male",27,"english","No","XY_XandY","XY","XandY","catele","catandele","right","to give commands","n.a","quatenary"
29,"anon1","male",27,"english","No","XY_Z","XY","Z","catele","dog","wrong","to give commands","n.a","quatenary"
30,"anon1","male",27,"english","No","X_Z","X","Z","ele","cat","wrong","to give commands","n.a","quatenary"
31,"anon1","male",27,"english","No","XY_XorY","XY","XorY","catele","catorele","kinda right","to give commands","n.a","quatenary"
32,"anon1","male",27,"english","No","X_XorY","X","XorY","dog","dogorele","kinda right","to give commands","n.a","quatenary"
33,"anon1","male",27,"english","No","X_XandY","X","XandY","dog","catanddog","kinda right","to give commands","n.a","quatenary"
34,"anon1","male",27,"english","No","X_XorY","X","XorY","cat","catorele","kinda right","to give commands","n.a","quatenary"
35,"anon1","male",27,"english","No","XY_XorY","XY","XorY","dogele","dogorele","right","to give commands","n.a","quatenary"
36,"anon1","male",27,"english","No","X_Z","X","Z","dog","ele","wrong","to give commands","n.a","quatenary"
37,"anon1","male",27,"english","No","XY_XandY","XY","XandY","catdog","catanddog","right","to give commands","n.a","quatenary"
38,"anon1","male",27,"english","No","X_XorY","X","XorY","dog","catordog","kinda right","to give commands","n.a","quatenary"
39,"anon1","male",27,"english","No","XY_XandY","XY","XandY","dogele","dogandele","right","to give commands","n.a","quatenary"
40,"anon1","male",27,"english","No","XY_Z","XY","Z","dogele","cat","wrong","to give commands","n.a","quatenary"
41,"anon1","male",27,"english","No","XY_XorY","XY","XorY","catdog","catordog","right","to give commands","n.a","quatenary"
42,"anon1","male",27,"english","No","X_X","X","X","dog","dog","right","to give commands","n.a","quatenary"
43,"anon1","male",27,"english","No","XY_Z","XY","Z","catdog","ele","wrong","to give commands","n.a","quatenary"
44,"anon1","male",27,"english","No","XY_X","XY","X","dogele","dog","kinda right","to give commands","n.a","quatenary"
45,"anon1","male",27,"english","No","XY_X","XY","X","catdog","dog","kinda right","to give commands","n.a","quatenary"
46,"anon1","male",27,"english","No","XY_X","XY","X","dogele","ele","kinda right","to give commands","n.a","quatenary"
47,"anon1","male",27,"english","No","X_X","X","X","cat","cat","right","to give commands","n.a","quatenary"
48,"anon1","male",27,"english","No","X_X","X","X","ele","ele","right","to give commands","n.a","quatenary"
49,"anon10","male",35,"english","No","XY_XorY","XY","XorY","dogele","dogorele","right","unsure","none","binary"
50,"anon10","male",35,"english","No","X_X","X","X","ele","ele","right","unsure","none","binary"
51,"anon10","male",35,"english","No","X_Z","X","Z","cat","dog","wrong","unsure","none","binary"
52,"anon10","male",35,"english","No","XY_Z","XY","Z","catele","dog","wrong","unsure","none","binary"
53,"anon10","male",35,"english","No","X_X","X","X","cat","cat","right","unsure","none","binary"
54,"anon10","male",35,"english","No","XY_XandY","XY","XandY","catele","catandele","right","unsure","none","binary"
55,"anon10","male",35,"english","No","XY_X","XY","X","dogele","ele","right","unsure","none","binary"
56,"anon10","male",35,"english","No","X_XandY","X","XandY","dog","dogandele","wrong","unsure","none","binary"
57,"anon10","male",35,"english","No","X_Z","X","Z","ele","cat","wrong","unsure","none","binary"
58,"anon10","male",35,"english","No","XY_XandY","XY","XandY","dogele","dogandele","right","unsure","none","binary"
59,"anon10","male",35,"english","No","X_X","X","X","dog","dog","right","unsure","none","binary"
60,"anon10","male",35,"english","No","X_Z","X","Z","dog","cat","wrong","unsure","none","binary"
61,"anon10","male",35,"english","No","XY_X","XY","X","catdog","dog","right","unsure","none","binary"
62,"anon10","male",35,"english","No","XY_XorY","XY","XorY","catele","catorele","right","unsure","none","binary"
63,"anon10","male",35,"english","No","XY_X","XY","X","dogele","dog","right","unsure","none","binary"
64,"anon10","male",35,"english","No","X_XandY","X","XandY","ele","catandele","wrong","unsure","none","binary"
65,"anon10","male",35,"english","No","XY_XorY","XY","XorY","catdog","catordog","right","unsure","none","binary"
